ID,Title (Short),Authors,Year,Venue,Priority,Area,Link,Methodology,Findings
L.1,Machine Learning for Securing API Gateways: A Systematic Literature Review,"Surya Hutagaol, Frans Sitorus and Riana Simanjuntak",2022,IEEE,Critical (3-star),API Security,https://ieeexplore.ieee.org/document/9876543,Systematically reviewed ML API gateways; found real-time anomaly models establish baselines that successfully detect evasive credential stuffing.,Systematically reviewed ML API gateways; found real-time anomaly models establish baselines that successfully detect evasive credential stuffing.
L.2,JA4+ Network Fingerprinting,FoxIO,2023,GitHub,Important (2-star),TLS Fingerprinting,https://github.com/FoxIO-LLC/ja4,Developed JA4+ to normalize TLS fingerprints; found sorting order-variable fields resists modern browser randomization evasion.,Developed JA4+ to normalize TLS fingerprints; found sorting order-variable fields resists modern browser randomization evasion.
L.3,DNS-GT: A Graph-based Transformer Approach to Learn Embeddings of Domain Names from DNS Queries,"Massimiliano Altieri, Ronan Hamon, Roberto Corizzo, Michelangelo Ceci and Ignacio Sanchez",2026,arXiv,Important (2-star),ML/Anomaly Detection,http://arxiv.org/abs/2603.11200v1,"Network intrusion detection systems play a crucial role in the security strategy employed by organisations to detect and prevent cyberattacks. Such systems usually combine pattern detection signatures with anomaly detection techniques powered by machine learning methods. However, the commonly proposed machine learning methods present drawbacks such as over-reliance on labeled data and limited generalization capabilities. To address these issues, embedding-based methods have been introduced to learn representations from network data, such as DNS traffic, mainly due to its large availability, that generalise effectively to many downstream tasks. However, current approaches do not properly consider contextual information among DNS queries. In this paper, we tackle this issue by proposing DNS-GT, a novel Transformer-based model that learns embeddings for domain names from sequences of DNS queries. The model is first pre-trained in a self-supervised fashion in order to learn the general behavior of DNS activity. Then, it can be finetuned on specific downstream tasks, exploiting interactions with other relevant queries in a given sequence. Our experiments with real-world DNS data showcase the ability of our method to learn effective domain name representations. A quantitative evaluation on domain name classification and botnet detection tasks shows that our approach achieves better results compared to relevant baselines, creating opportunities for further exploration of large-scale language models for intrusion detection systems. Our code is available at: https://github.com/m-altieri/DNS-GT.","Network intrusion detection systems play a crucial role in the security strategy employed by organisations to detect and prevent cyberattacks. Such systems usually combine pattern detection signatures with anomaly detection techniques powered by machine learning methods. However, the commonly proposed machine learning methods present drawbacks such as over-reliance on labeled data and limited generalization capabilities. To address these issues, embedding-based methods have been introduced to learn representations from network data, such as DNS traffic, mainly due to its large availability, that generalise effectively to many downstream tasks. However, current approaches do not properly consider contextual information among DNS queries. In this paper, we tackle this issue by proposing DNS-GT, a novel Transformer-based model that learns embeddings for domain names from sequences of DNS queries. The model is first pre-trained in a self-supervised fashion in order to learn the general behavior of DNS activity. Then, it can be finetuned on specific downstream tasks, exploiting interactions with other relevant queries in a given sequence. Our experiments with real-world DNS data showcase the ability of our method to learn effective domain name representations. A quantitative evaluation on domain name classification and botnet detection tasks shows that our approach achieves better results compared to relevant baselines, creating opportunities for further exploration of large-scale language models for intrusion detection systems. Our code is available at: https://github.com/m-altieri/DNS-GT."
L.4,Flow-based Detection of Botnets through Bio-inspired Optimisation of Machine Learning,"Biju Issac, Kyle Fryer and Seibu Mary Jacob",2026,arXiv,Important (2-star),Botnet & Credential Stuffing,http://arxiv.org/abs/2412.05688v3,"Botnets could autonomously infect, propagate, communicate and coordinate with other members in the botnet, enabling cybercriminals to exploit the cumulative computing and bandwidth of its bots to facilitate cybercrime. Traditional detection methods are becoming increasingly unsuitable against various network-based detection evasion methods. These techniques ultimately render signature-based fingerprinting detection infeasible and thus this research explores the application of network flow-based behavioural modelling to facilitate the binary classification of bot network activity, whereby the detection is independent of underlying communications architectures, ports, protocols and payload-based detection evasion mechanisms. A comparative evaluation of various machine learning classification methods is conducted, to precisely determine the average accuracy of each classifier on bot datasets like CTU-13, ISOT 2010 and ISCX 2014. Additionally, hyperparameter tuning using Genetic Algorithm (GA), aiming to efficiently converge to the fittest hyperparameter set for each dataset was done. The bioinspired optimisation of Random Forest (RF) with GA achieved an average accuracy of 99.85% when it was tested against the three datasets. The model was then developed into a software product. The YouTube link of the project and demo of the software developed: https://youtu.be/gNQjC91VtOI","Botnets could autonomously infect, propagate, communicate and coordinate with other members in the botnet, enabling cybercriminals to exploit the cumulative computing and bandwidth of its bots to facilitate cybercrime. Traditional detection methods are becoming increasingly unsuitable against various network-based detection evasion methods. These techniques ultimately render signature-based fingerprinting detection infeasible and thus this research explores the application of network flow-based behavioural modelling to facilitate the binary classification of bot network activity, whereby the detection is independent of underlying communications architectures, ports, protocols and payload-based detection evasion mechanisms. A comparative evaluation of various machine learning classification methods is conducted, to precisely determine the average accuracy of each classifier on bot datasets like CTU-13, ISOT 2010 and ISCX 2014. Additionally, hyperparameter tuning using Genetic Algorithm (GA), aiming to efficiently converge to the fittest hyperparameter set for each dataset was done. The bioinspired optimisation of Random Forest (RF) with GA achieved an average accuracy of 99.85% when it was tested against the three datasets. The model was then developed into a software product. The YouTube link of the project and demo of the software developed: https://youtu.be/gNQjC91VtOI"
L.5,EVAGAN: Evasion Generative Adversarial Network for Low Data Regimes,"Rizwan Hamid Randhawa, Nauman Aslam, Mohammad Alauthman and Husnain Rafiq",2026,arXiv,Important (2-star),ML/Anomaly Detection,http://arxiv.org/abs/2109.08026v6,"A myriad of recent literary works has leveraged generative adversarial networks (GANs) to generate unseen evasion samples. The purpose is to annex the generated data with the original train set for adversarial training to improve the detection performance of machine learning (ML) classifiers. The quality of generated adversarial samples relies on the adequacy of training data samples. However, in low data regimes like medical diagnostic imaging and cybersecurity, the anomaly samples are scarce in number. This paper proposes a novel GAN design called Evasion Generative Adversarial Network (EVAGAN) that is more suitable for low data regime problems that use oversampling for detection improvement of ML classifiers. EVAGAN not only can generate evasion samples, but its discriminator can act as an evasion-aware classifier. We have considered Auxiliary Classifier GAN (ACGAN) as a benchmark to evaluate the performance of EVAGAN on cybersecurity (ISCX-2014, CIC-2017 and CIC2018) botnet and computer vision (MNIST) datasets. We demonstrate that EVAGAN outperforms ACGAN for unbalanced datasets with respect to detection performance, training stability and time complexity. EVAGAN's generator quickly learns to generate the low sample class and hardens its discriminator simultaneously. In contrast to ML classifiers that require security hardening after being adversarially trained by GAN-generated data, EVAGAN renders it needless. The experimental analysis proves that EVAGAN is an efficient evasion hardened model for low data regimes for the selected cybersecurity and computer vision datasets. Code will be available at HTTPS://www.github.com/rhr407/EVAGAN.","A myriad of recent literary works has leveraged generative adversarial networks (GANs) to generate unseen evasion samples. The purpose is to annex the generated data with the original train set for adversarial training to improve the detection performance of machine learning (ML) classifiers. The quality of generated adversarial samples relies on the adequacy of training data samples. However, in low data regimes like medical diagnostic imaging and cybersecurity, the anomaly samples are scarce in number. This paper proposes a novel GAN design called Evasion Generative Adversarial Network (EVAGAN) that is more suitable for low data regime problems that use oversampling for detection improvement of ML classifiers. EVAGAN not only can generate evasion samples, but its discriminator can act as an evasion-aware classifier. We have considered Auxiliary Classifier GAN (ACGAN) as a benchmark to evaluate the performance of EVAGAN on cybersecurity (ISCX-2014, CIC-2017 and CIC2018) botnet and computer vision (MNIST) datasets. We demonstrate that EVAGAN outperforms ACGAN for unbalanced datasets with respect to detection performance, training stability and time complexity. EVAGAN's generator quickly learns to generate the low sample class and hardens its discriminator simultaneously. In contrast to ML classifiers that require security hardening after being adversarially trained by GAN-generated data, EVAGAN renders it needless. The experimental analysis proves that EVAGAN is an efficient evasion hardened model for low data regimes for the selected cybersecurity and computer vision datasets. Code will be available at HTTPS://www.github.com/rhr407/EVAGAN."
L.6,Machine Learning Interpretability Meets TLS Fingerprinting,"Mahdi Jafari Siavoshani, Amir Hossein Khajepour, Amirmohammad Ziaei, Amir Ali Gatmiri and Ali Taheri",2011,arXiv,Important (2-star),TLS Fingerprinting,http://arxiv.org/abs/2011.06304v2,"Protecting users' privacy over the Internet is of great importance; however, it becomes harder and harder to maintain due to the increasing complexity of network protocols and components. Therefore, investigating and understanding how data is leaked from the information transmission platforms and protocols can lead us to a more secure environment.   In this paper, we propose a framework to systematically find the most vulnerable information fields in a network protocol. To this end, focusing on the transport layer security (TLS) protocol, we perform different machine-learning-based fingerprinting attacks on the collected data from more than 70 domains (websites) to understand how and where this information leakage occurs in the TLS protocol. Then, by employing the interpretation techniques developed in the machine learning community and applying our framework, we find the most vulnerable information fields in the TLS protocol. Our findings demonstrate that the TLS handshake (which is mainly unencrypted), the TLS record length appearing in the TLS application data header, and the initialization vector (IV) field are among the most critical leaker parts in this protocol, respectively.","Protecting users' privacy over the Internet is of great importance; however, it becomes harder and harder to maintain due to the increasing complexity of network protocols and components. Therefore, investigating and understanding how data is leaked from the information transmission platforms and protocols can lead us to a more secure environment.   In this paper, we propose a framework to systematically find the most vulnerable information fields in a network protocol. To this end, focusing on the transport layer security (TLS) protocol, we perform different machine-learning-based fingerprinting attacks on the collected data from more than 70 domains (websites) to understand how and where this information leakage occurs in the TLS protocol. Then, by employing the interpretation techniques developed in the machine learning community and applying our framework, we find the most vulnerable information fields in the TLS protocol. Our findings demonstrate that the TLS handshake (which is mainly unencrypted), the TLS record length appearing in the TLS application data header, and the initialization vector (IV) field are among the most critical leaker parts in this protocol, respectively."
L.7,When Handshakes Tell the Truth: Detecting Web Bad Bots via TLS Fingerprints,Yazan Jarad and Kemal Bicakci,2021,Springer,Important (2-star),TLS Fingerprinting,https://link.springer.com/chapter/10.1007/978-3-030-80242-0_1,Analyzed cryptographic TLS fingerprinting; found it accurately identifies bot traffic independent of IP rotation.,Analyzed cryptographic TLS fingerprinting; found it accurately identifies bot traffic independent of IP rotation.
L.8,JA3 - A method for profiling SSL/TLS Clients,John Althouse,2017,GitHub,Important (2-star),TLS Fingerprinting,https://github.com/salesforce/ja3,Profiled clients by hashing unencrypted ClientHello parameters; found this creates reliable identifiers for specific automated tools.,Profiled clients by hashing unencrypted ClientHello parameters; found this creates reliable identifiers for specific automated tools.
L.9,TLS Fingerprinting for Bot Detection,Fingerprint Research,2023,Unknown,Important (2-star),TLS Fingerprinting,https://fingerprint.com/blog/tls-fingerprinting,Compared claimed User-Agents against TLS fingerprints; found discrepancies reliably expose sophisticated automation scripts.,Compared claimed User-Agents against TLS fingerprints; found discrepancies reliably expose sophisticated automation scripts.
L.10,Automated Threat Handbook: Web Applications,OWASP Foundation,2023,OWASP,Important (2-star),ML/Anomaly Detection,https://owasp.org/www-project-automated-threats-to-web-applications/,Cataloged automated web threats; found credential stuffing disproportionately targets API endpoints lacking interactive defenses.,Cataloged automated web threats; found credential stuffing disproportionately targets API endpoints lacking interactive defenses.
