ID,Title (Short),Authors,Year,Venue,Priority,Area,Link
F.1,NIST AI 100-2 Adversarial ML Taxonomy,NIST,2023/2025,NIST Technical Report,Critical (3-star),Foundation,https://airc.nist.gov/Publications
F.2,DeepLOB: Deep Convolutional Neural Networks for Limit Order Books,"Zhang, Zohren, Roberts",2019,IEEE Transactions on Signal Processing,Critical (3-star),Foundation,https://arxiv.org/abs/1808.03668
F.3,Adversarial Attacks on DNN for TS Classification,"Fawaz, Forestier et al.",2019,IJCNN,Important (2-star),Foundation,https://ieeexplore.ieee.org/document/8852247
F.4,Adversarial Attacks on Time Series (ATN),"Karim, Majumdar, Darabi",2021,IEEE TPAMI,Important (2-star),Foundation,https://ieeexplore.ieee.org/document/9008005
F.5,Artificial Intelligence and Systemic Risk,"Danielsson, Macrae, Uthemann",2022,Journal of Banking & Finance,Important (2-star),Foundation,https://doi.org/10.1016/j.jbankfin.2022.106290
1.1,Adversarial Attacks on Machine Learning Systems for High-Frequency Trading,Goldblum et al.,2021,ACM ICAIF,Critical (3-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2002.09565
1.2,"Taking Over the Stock Market: Adversarial Perturbations Against Algorithmic Traders","Nehemya, Mathov, Shabtai, Elovici",2021,ECML PKDD,Critical (3-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2010.09246
1.3,The Ephemeral Threat: Assessing the Security of Algorithmic Trading Systems,"Rizvani, Apruzzese, Laskov",2025,ACM CODASPY,Critical (3-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2505.10430
1.4,Adversarial Attacks on Deep Algorithmic Trading Policies,"Faghan, Pierson, Behzadan, Fathi",2020,arXiv,Critical (3-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2010.11388
1.5,Adversarial News and Lost Profits: Manipulating Headlines in LLM-Driven Algorithmic Trading,"Rizvani, Apruzzese, Laskov",2026,IEEE SaTML,Important (2-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2601.07722
1.6,The Black Tuesday Attack: How to Crash the Stock Market with Adversarial Examples,Multiple,2025,arXiv,Important (2-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2510.18990
1.7,Targeted Manipulation: Slope-Based Attacks on Financial Time-Series Data,Multiple,2025,arXiv,Important (2-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2511.19330
1.8,Adversarial-Robust DRL for High-Frequency Cryptocurrency Trading with XAI Framework,Sinha et al.,2025,ResearchGate Preprint,Important (2-star),Area 1 — HFT Attacks,Search ResearchGate by title
1.9,Conditional Adversarial Fragility in Financial ML under Macroeconomic Stress,Baviskar,2025,arXiv,Important (2-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2512.19935
1.10,"TradeTrap: Are LLM-based Trading Agents Truly Reliable and Faithful?",Wen et al.,2025,arXiv,Important (2-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2512.02261
1.11,Robust Market Making via Adversarial Reinforcement Learning,"Spooner, Savani",2020,IJCAI,Important (2-star),Area 1 — Defense,https://arxiv.org/abs/2003.01820
1.12,"When Hallucination Costs Millions: Benchmarking AI Agents in Adversarial Financial Markets",Multiple,2025,arXiv,Important (2-star),Area 1 — HFT Attacks,https://arxiv.org/abs/2510.00332
1.13,"When Milliseconds Matter: Evaluating Vulnerability of HFT Models to Adversarial Manipulation (MSc Thesis)",Chakraborty,2025,MSc Thesis — Penn State University,Contextual (1-star),Prior Thesis,https://etda.libraries.psu.edu
1.14,Adversarial Robustness Testing of DRL Based Automated Trading Software (MSc Thesis),Anonymous,2022,MSc Thesis — University of Lethbridge,Contextual (1-star),Prior Thesis,https://scholaris.ca
2.1,SleeperNets: Universal Backdoor Poisoning Attacks Against Reinforcement Learning Agents,"Rathbun, Amato, Oprea",2024,NeurIPS 2024,Critical (3-star),Area 2 — Data Poisoning,https://arxiv.org/abs/2405.20539
2.2,Trading Devil RL: Backdoor Attack via Stock Market Bayesian Optimization and Reinforcement Learning,Mengara,2024,arXiv,Critical (3-star),Area 2 — Data Poisoning,https://arxiv.org/abs/2412.17908
2.3,Trading Devil: Robust Backdoor Attack via Stochastic Investment Models and Bayesian Approach,Mengara,2024,arXiv,Important (2-star),Area 2 — Data Poisoning,https://arxiv.org/abs/2406.10719
2.4,Adversarial Robustness in Financial ML: Defenses Economic Impact and Governance Evidence,Multiple,2025,arXiv,Important (2-star),Area 2 — Data Poisoning,https://arxiv.org/abs/2512.15780
